Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
CRWD,"CROWDSTRIKE HOLDINGS, INC. (XNAS:CRWD)",2.100000%,14.060000%,6.300000%,-32.700000%,24.350000%,-32.700000%,-35.530000%,-55.160000%
CSCO,"CISCO SYSTEMS, INC. (XNAS:CSCO)",1.230000%,6.350000%,2.150000%,-12.970000%,14.810000%,-12.970000%,-23.010000%,-22.120000%
CSGP,"COSTAR GROUP, INC. (XNAS:CSGP)",-0.070000%,8.050000%,-0.350000%,-15.500000%,18.840000%,-15.500000%,-32.570000%,19.170000%
CSX,CSX Corporation (XNAS:CSX),0.430000%,7.160000%,-0.330000%,-18.360000%,16.710000%,-18.360000%,-34.670000%,-4.230000%
CTAS,CINTAS CORPORATION (XNAS:CTAS),1.720000%,6.000000%,2.360000%,-13.850000%,14.100000%,-13.850000%,26.310000%,-39.920000%
CTRA,Coterra Energy Inc. (XNYS:CTRA),1.600000%,9.670000%,-1.260000%,-23.320000%,25.040000%,-23.320000%,20.640000%,40.350000%
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION (XNAS:CTSH),-0.220000%,7.510000%,-0.610000%,-16.100000%,19.290000%,-16.100000%,11.290000%,26.280000%
CTVA,"CORTEVA, INC. (XNYS:CTVA)",1.460000%,7.000000%,1.460000%,-17.350000%,19.710000%,-17.350000%,51.190000%,2.370000%
CVNA,CARVANA CO. (XNYS:CVNA),10.440000%,44.820000%,3.340000%,-61.090000%,204.850000%,-61.090000%,556.370000%,183.290000%
CVS,CVS HEALTH CORPORATION (XNYS:CVS),0.370000%,7.740000%,0.420000%,-0.120000%,16.370000%,-20.370000%,21.940000%,-28.390000%
CVX,CHEVRON CORPORATION (XNYS:CVX),1.520000%,8.540000%,1.650000%,-18.600000%,27.670000%,-18.600000%,163.680000%,53.940000%
D,"Dominion Energy, Inc. (XNYS:D)",0.000000%,6.390000%,-0.180000%,-16.820000%,17.340000%,-16.820000%,86.440000%,-40.750000%
DAL,"DELTA AIR LINES, INC. (XNYS:DAL)",2.060000%,11.740000%,1.750000%,-28.480000%,32.460000%,-28.480000%,-11.320000%,5.880000%
DASH,"DOORDASH, INC. (XNAS:DASH)",2.350000%,14.770000%,2.390000%,-40.360000%,30.030000%,-40.360000%,27.770000%,-53.880000%
DAY,"DAYFORCE, INC. (XNYS:DAY)",0.090000%,11.160000%,0.390000%,-26.090000%,36.640000%,-26.090000%,180.900000%,61.460000%
DD,"DuPont de Nemours, Inc. (XNYS:DD)",1.370000%,9.480000%,0.440000%,-21.990000%,28.820000%,-21.990000%,90.640000%,42.540000%
DDOG,"DATADOG, INC. (XNAS:DDOG)",1.690000%,14.270000%,1.190000%,-28.340000%,31.120000%,-28.340000%,-42.400000%,6.200000%
DE,DEERE & COMPANY (XNYS:DE),1.420000%,7.310000%,0.820000%,-13.360000%,19.480000%,-13.360000%,-17.420000%,31.450000%
DECK,DECKERS OUTDOOR CORPORATION (XNYS:DECK),2.350000%,12.960000%,1.590000%,-32.510000%,29.690000%,-32.510000%,8.140000%,-21.580000%
DELL,DELL TECHNOLOGIES INC. (XNYS:DELL),3.440000%,12.570000%,4.140000%,-21.720000%,39.450000%,-21.720000%,32.530000%,49.580000%
DG,DOLLAR GENERAL CORPORATION (XNYS:DG),-0.150000%,11.450000%,0.680000%,-0.330000%,31.620000%,-31.730000%,132.430000%,-38.100000%
DGX,QUEST DIAGNOSTICS INCORPORATED (XNYS:DGX),0.870000%,6.440000%,1.260000%,1.060000%,17.060000%,-22.520000%,208.540000%,-47.130000%
DHI,"D.R. HORTON, INC. (XNYS:DHI)",1.450000%,11.060000%,1.620000%,-22.530000%,26.640000%,-22.530000%,-41.680000%,23.820000%
DHR,DANAHER CORPORATION (XNYS:DHR),0.170000%,7.660000%,1.150000%,-3.230000%,12.380000%,-14.660000%,-85.130000%,-22.000000%
DIS,THE WALT DISNEY COMPANY (XNYS:DIS),-0.270000%,9.330000%,-1.470000%,-19.500000%,29.370000%,-19.500000%,179.670000%,91.040000%
DLR,"DIGITAL REALTY TRUST, INC. (XNYS:DLR)",0.890000%,8.250000%,-0.440000%,-20.830000%,17.890000%,-20.830000%,20.170000%,-12.880000%
DLTR,"DOLLAR TREE, INC. (XNAS:DLTR)",1.420000%,11.160000%,0.740000%,-27.380000%,28.680000%,-27.380000%,8.570000%,-4.420000%
DOC,"HEALTHPEAK PROPERTIES, INC. (XNYS:DOC)",-0.260000%,7.310000%,0.100000%,-14.570000%,13.830000%,-14.570000%,-82.980000%,-7.790000%
DOV,DOVER CORPORATION (XNYS:DOV),1.380000%,7.390000%,1.120000%,-16.110000%,17.870000%,-16.110000%,-55.590000%,-10.920000%
DOW,Dow Inc. (XNYS:DOW),-1.180000%,8.300000%,-1.100000%,-23.860000%,19.070000%,-23.860000%,71.160000%,-34.720000%
DPZ,"DOMINO'S PIZZA, INC. (XNAS:DPZ)",0.800000%,9.370000%,1.720000%,-22.370000%,26.530000%,-22.370000%,59.040000%,-12.650000%
DRI,"DARDEN RESTAURANTS, INC. (XNYS:DRI)",1.490000%,6.340000%,1.080000%,-11.490000%,18.700000%,-11.490000%,-6.190000%,30.140000%
DTE,DTE ENERGY COMPANY (XNYS:DTE),0.650000%,4.930000%,1.250000%,-13.640000%,10.820000%,-13.640000%,22.470000%,-35.830000%
DUK,DUKE ENERGY CORPORATION (XNYS:DUK),0.440000%,4.700000%,0.400000%,-14.450000%,10.180000%,-14.450000%,62.350000%,-38.630000%
DVA,DAVITA INC. (XNYS:DVA),0.300000%,9.270000%,-0.450000%,-22.230000%,28.040000%,-22.230000%,62.620000%,33.590000%
DVN,DEVON ENERGY CORPORATION (XNYS:DVN),1.960000%,12.180000%,0.290000%,-26.440000%,36.650000%,-26.440000%,70.030000%,51.630000%
DXCM,"DEXCOM, INC. (XNAS:DXCM)",-0.120000%,15.110000%,0.030000%,-45.130000%,42.640000%,-45.130000%,138.010000%,-24.920000%
EA,ELECTRONIC ARTS INC. (XNAS:EA),1.330000%,7.700000%,1.270000%,-12.560000%,22.300000%,-12.560000%,-1.310000%,34.980000%
EBAY,EBAY INC. (XNAS:EBAY),1.850000%,9.120000%,1.010000%,-17.340000%,30.590000%,-17.340000%,84.900000%,51.970000%
ECL,ECOLAB INC. (XNYS:ECL),0.570000%,6.400000%,0.910000%,-20.080000%,17.080000%,-20.080000%,109.990000%,-33.040000%
ED,"CONSOLIDATED EDISON, INC. (XNYS:ED)",0.710000%,5.430000%,0.380000%,-12.960000%,13.570000%,-12.960000%,-37.430000%,0.620000%
