Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
APO,"APOLLO GLOBAL MANAGEMENT, INC. (XNYS:APO)",3.180000%,10.950000%,3.230000%,-17.510000%,34.580000%,-17.510000%,-15.500000%,37.470000%
APP,APPLOVIN CORPORATION (XNAS:APP),8.180000%,27.070000%,4.180000%,0.000000%,129.520000%,-38.440000%,543.720000%,144.230000%
APTV,APTIV PLC (XNYS:APTV),0.400000%,11.090000%,0.290000%,-24.220000%,27.750000%,-24.220000%,6.420000%,15.670000%
ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC. (XNYS:ARE)",-1.700000%,9.340000%,-1.950000%,-29.260000%,16.550000%,-29.260000%,21.820000%,-28.020000%
ARES,ARES MANAGEMENT CORPORATION (XNYS:ARES),3.350000%,10.080000%,4.620000%,-22.390000%,26.630000%,-22.390000%,68.450000%,-35.550000%
ATO,ATMOS ENERGY CORPORATION (XNYS:ATO),0.980000%,5.090000%,1.340000%,-12.190000%,13.510000%,-12.190000%,-0.900000%,-18.510000%
AVB,"AVALONBAY COMMUNITIES, INC. (XNYS:AVB)",0.640000%,6.030000%,0.810000%,-16.510000%,14.350000%,-16.510000%,36.510000%,-2.370000%
AVGO,BROADCOM INC. (XNAS:AVGO),4.430000%,10.740000%,4.000000%,-17.760000%,33.940000%,-17.760000%,71.560000%,51.510000%
AVY,AVERY DENNISON CORPORATION (XNYS:AVY),0.610000%,6.600000%,-0.010000%,-16.000000%,17.540000%,-16.000000%,24.740000%,6.090000%
AWK,"AMERICAN WATER WORKS COMPANY, INC. (XNYS:AWK)",-0.250000%,6.890000%,0.810000%,-17.660000%,14.040000%,-17.660000%,18.320000%,-36.850000%
AXON,"AXON ENTERPRISE, INC. (XNAS:AXON)",3.960000%,15.610000%,2.690000%,-31.100000%,55.980000%,-31.100000%,167.460000%,76.920000%
AXP,AMERICAN EXPRESS COMPANY (XNYS:AXP),2.900000%,7.710000%,3.940000%,-14.240000%,21.060000%,-14.240000%,-39.920000%,-6.880000%
AZO,"AUTOZONE, INC. (XNYS:AZO)",1.970000%,6.790000%,2.230000%,-12.040000%,17.890000%,-12.040000%,-22.610000%,20.090000%
BA,THE BOEING COMPANY (XNYS:BA),2.040000%,12.320000%,0.620000%,-26.410000%,32.150000%,-26.410000%,34.210000%,39.340000%
BAC,BANK OF AMERICA CORPORATION (XNYS:BAC),1.910000%,7.990000%,1.470000%,-16.400000%,21.820000%,-16.400000%,-38.080000%,11.150000%
BALL,BALL CORPORATION (XNYS:BALL),-0.710000%,8.710000%,0.070000%,-23.980000%,22.970000%,-23.980000%,63.120000%,-24.060000%
BAX,BAXTER INTERNATIONAL INC. (XNYS:BAX),-2.140000%,8.020000%,-3.240000%,-16.480000%,21.540000%,-16.480000%,-1.620000%,33.120000%
BBY,"Best Buy Co., Inc. (XNYS:BBY)",-0.210000%,9.870000%,-2.140000%,-19.560000%,26.700000%,-19.560000%,45.600000%,70.180000%
BDX,"BECTON, DICKINSON AND COMPANY (XNYS:BDX)",-0.170000%,5.380000%,0.520000%,-13.750000%,11.350000%,-13.750000%,19.210000%,-28.430000%
BEN,"FRANKLIN RESOURCES, INC. (XNYS:BEN)",0.720000%,9.770000%,-2.110000%,-18.760000%,26.120000%,-18.760000%,-32.140000%,62.650000%
BF.B,BROWN-FORMAN CORPORATION (XNYS:BF.B),-1.750000%,7.990000%,-1.110000%,-28.840000%,11.240000%,-28.840000%,155.480000%,-96.500000%
BG,Bunge Global Ltd (XNYS:BG),1.590000%,8.800000%,2.170000%,-19.300000%,20.540000%,-19.300000%,-17.900000%,-7.190000%
BIIB,BIOGEN INC. (XNAS:BIIB),-0.610000%,10.520000%,-2.500000%,-16.960000%,44.740000%,-16.960000%,614.940000%,187.400000%
BK,THE BANK OF NEW YORK MELLON CORPORATION (XNYS:BK),2.770000%,6.440000%,3.560000%,-12.930000%,16.700000%,-12.930000%,-19.340000%,-30.250000%
BKNG,BOOKING HOLDINGS INC. (XNAS:BKNG),2.480000%,8.830000%,2.420000%,-17.730000%,21.820000%,-17.730000%,-33.460000%,-15.520000%
BKR,BAKER HUGHES COMPANY (XNAS:BKR),2.690000%,11.030000%,2.330000%,-19.790000%,38.880000%,-19.790000%,112.890000%,43.070000%
BLDR,"BUILDERS FIRSTSOURCE, INC. (XNYS:BLDR)",2.250000%,12.630000%,1.390000%,-22.050000%,26.960000%,-22.050000%,-89.070000%,-0.250000%
BLK,"BLACKROCK, INC. (XNYS:BLK)",1.010000%,7.870000%,0.310000%,-18.650000%,19.240000%,-18.650000%,46.500000%,-9.140000%
BMY,BRISTOL-MYERS SQUIBB COMPANY (XNYS:BMY),-0.090000%,7.840000%,0.100000%,-16.570000%,20.320000%,-16.570000%,5.120000%,15.040000%
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC. (XNYS:BR)",0.720000%,6.580000%,0.480000%,-18.020000%,14.640000%,-18.020000%,82.770000%,-41.090000%
BRK.B,BERKSHIRE HATHAWAY INC. (XNYS:BRK.B),1.770000%,5.020000%,1.560000%,-9.380000%,15.260000%,-9.380000%,0.360000%,7.950000%
BRO,"BROWN & BROWN, INC. (XNYS:BRO)",1.120000%,6.820000%,1.510000%,-19.740000%,16.310000%,-19.740000%,55.420000%,-51.520000%
BSX,BOSTON SCIENTIFIC CORPORATION (XNYS:BSX),2.100000%,5.030000%,2.190000%,-9.200000%,12.330000%,-9.200000%,-62.230000%,-10.210000%
BX,BLACKSTONE INC. (XNYS:BX),2.550000%,11.530000%,4.400000%,-20.790000%,30.920000%,-20.790000%,-51.210000%,11.180000%
BXP,"BXP, INC. (XNYS:BXP)",0.160000%,9.270000%,-2.400000%,-18.880000%,28.060000%,-18.880000%,46.780000%,79.690000%
C,CITIGROUP INC. (XNYS:C),2.010000%,8.490000%,1.860000%,12.650000%,22.380000%,-16.290000%,-26.990000%,2.870000%
CAG,"CONAGRA BRANDS, INC. (XNYS:CAG)",-1.270000%,5.500000%,-1.190000%,-11.590000%,10.780000%,-11.590000%,-54.860000%,2.920000%
CAH,"CARDINAL HEALTH, INC. (XNYS:CAH)",2.850000%,8.450000%,1.810000%,-11.900000%,30.910000%,-11.900000%,93.460000%,88.250000%
CARR,CARRIER GLOBAL CORPORATION (XNYS:CARR),1.350000%,9.930000%,0.500000%,-17.940000%,22.770000%,-17.940000%,-45.790000%,40.200000%
CAT,CATERPILLAR INC. (XNYS:CAT),2.730000%,10.000000%,1.920000%,-16.770000%,38.860000%,-16.770000%,178.640000%,66.460000%
CB,Chubb Ltd (XNYS:CB),1.060000%,5.450000%,-0.120000%,-8.900000%,15.000000%,-8.900000%,-66.150000%,37.590000%
CBOE,"Cboe Global Markets, Inc. (BATS:CBOE)",2.250000%,5.350000%,2.600000%,5.370000%,16.500000%,-9.530000%,10.360000%,17.860000%
CBRE,"CBRE GROUP, INC. (XNYS:CBRE)",2.610000%,8.740000%,3.280000%,-16.060000%,22.320000%,-16.060000%,-41.980000%,-3.180000%
CCI,CROWN CASTLE INC. (XNYS:CCI),-0.620000%,7.730000%,-1.110000%,-16.640000%,20.950000%,-16.640000%,72.240000%,57.210000%
CCL,Carnival Corp (XNYS:CCL),3.440000%,18.300000%,1.620000%,-29.490000%,66.930000%,-29.490000%,129.290000%,83.810000%
CDNS,"CADENCE DESIGN SYSTEMS, INC. (XNAS:CDNS)",1.700000%,10.040000%,2.710000%,-20.840000%,24.670000%,-20.840000%,-14.990000%,-15.850000%
CDW,CDW CORPORATION (XNAS:CDW),0.450000%,7.970000%,0.030000%,-18.020000%,20.260000%,-18.020000%,-20.780000%,15.240000%
CEG,CONSTELLATION ENERGY CORPORATION. (XNAS:CEG),4.960000%,13.120000%,2.360000%,0.000000%,43.940000%,-29.880000%,180.410000%,77.600000%
CF,"CF INDUSTRIES HOLDINGS, INC. (XNYS:CF)",2.080000%,10.650000%,0.030000%,-18.670000%,34.400000%,-18.670000%,64.420000%,65.310000%
CFG,"CITIZENS FINANCIAL GROUP, INC. (XNYS:CFG)",2.000000%,10.420000%,1.020000%,-27.500000%,26.780000%,-27.500000%,17.960000%,13.710000%
CHD,"CHURCH & DWIGHT CO., INC. (XNYS:CHD)",0.390000%,5.430000%,-0.060000%,-16.250000%,12.960000%,-16.250000%,66.310000%,0.150000%
CHRW,"C.H. ROBINSON WORLDWIDE, INC. (XNAS:CHRW)",1.120000%,8.680000%,0.630000%,-17.560000%,21.970000%,-17.560000%,29.780000%,32.230000%
CHTR,"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",-1.510000%,11.520000%,-1.960000%,-31.720000%,26.610000%,-31.720000%,64.940000%,0.720000%
CI,THE CIGNA GROUP (XNYS:CI),0.760000%,7.570000%,0.480000%,-13.870000%,19.680000%,-13.870000%,-0.160000%,34.390000%
CINF,CINCINNATI FINANCIAL CORPORATION (XNAS:CINF),1.730000%,7.700000%,0.800000%,-19.190000%,24.100000%,-19.190000%,52.700000%,21.160000%
CL,COLGATE-PALMOLIVE COMPANY (XNYS:CL),0.150000%,4.520000%,0.790000%,-11.310000%,9.990000%,-11.310000%,-61.110000%,-11.190000%
CLX,THE CLOROX COMPANY (XNYS:CLX),-1.040000%,7.120000%,-1.180000%,-18.900000%,14.980000%,-18.900000%,8.920000%,-5.400000%
CMCSA,COMCAST CORPORATION (XNAS:CMCSA),-0.810000%,7.460000%,-1.990000%,-20.300000%,15.170000%,-20.300000%,15.630000%,6.910000%
CME,CME GROUP INC. (XNAS:CME),0.920000%,5.180000%,1.210000%,-12.280000%,12.780000%,-12.280000%,-10.540000%,-25.390000%
CMG,"CHIPOTLE MEXICAN GRILL, INC. (XNYS:CMG)",1.720000%,11.310000%,1.520000%,-22.400000%,27.300000%,-22.400000%,-21.600000%,1.410000%
CMI,CUMMINS INC. (XNYS:CMI),2.340000%,7.570000%,2.030000%,-13.830000%,19.290000%,-13.830000%,-42.710000%,20.470000%
CMS,CMS ENERGY CORPORATION (XNYS:CMS),0.520000%,4.990000%,0.240000%,-15.300000%,9.420000%,-15.300000%,42.920000%,-42.680000%
CNC,CENTENE CORPORATION (XNYS:CNC),-0.270000%,10.230000%,-0.010000%,-49.380000%,18.580000%,-49.380000%,765.340000%,-178.070000%
CNP,"CENTERPOINT ENERGY, INC. (XNYS:CNP)",1.550000%,4.920000%,2.640000%,3.060000%,12.490000%,-11.240000%,-5.160000%,-27.990000%
COF,CAPITAL ONE FINANCIAL CORPORATION (XNYS:COF),2.620000%,9.520000%,0.580000%,-16.070000%,30.640000%,-16.070000%,34.030000%,56.600000%
COIN,"COINBASE GLOBAL, INC. (XNAS:COIN)",5.060000%,30.450000%,0.000000%,0.000000%,110.880000%,-44.510000%,215.250000%,135.010000%
COO,"THE COOPER COMPANIES, INC. (XNAS:COO)",-0.160000%,7.970000%,1.290000%,-21.210000%,17.370000%,-21.210000%,2.250000%,-9.870000%
COP,CONOCOPHILLIPS (XNYS:COP),1.790000%,10.950000%,0.270000%,-26.000000%,33.250000%,-26.000000%,189.880000%,87.650000%
COR,"Cencora, Inc. (XNYS:COR)",2.050000%,6.250000%,1.180000%,-8.460000%,19.440000%,-8.460000%,-13.950000%,56.900000%
COST,COSTCO WHOLESALE CORPORATION (XNAS:COST),1.980000%,7.130000%,1.690000%,-15.170000%,14.460000%,-15.170000%,-60.500000%,-14.600000%
CPAY,"CORPAY, INC. (XNYS:CPAY)",0.500000%,7.870000%,0.570000%,-20.420000%,18.790000%,-20.420000%,3.040000%,-10.750000%
CPB,THE CAMPBELL'S COMPANY (XNAS:CPB),-0.850000%,5.820000%,-0.240000%,-11.590000%,11.480000%,-11.590000%,-81.950000%,-12.350000%
CPRT,"COPART, INC. (XNAS:CPRT)",0.800000%,8.730000%,0.220000%,-24.860000%,17.290000%,-24.860000%,6.340000%,-18.710000%
CPT,CAMDEN PROPERTY TRUST (XNYS:CPT),0.360000%,6.530000%,0.900000%,-14.260000%,10.240000%,-14.260000%,-69.280000%,-28.670000%
CRH,CRH PUBLIC LIMITED COMPANY (XNYS:CRH),1.290000%,7.760000%,0.000000%,0.000000%,16.860000%,-17.990000%,5.780000%,-16.730000%
CRL,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC. (XNYS:CRL)",0.610000%,10.950000%,0.470000%,-38.000000%,28.930000%,-38.000000%,172.550000%,-53.490000%
CRM,"SALESFORCE, INC. (XNYS:CRM)",0.180000%,9.950000%,0.960000%,-20.050000%,29.000000%,-20.050000%,12.820000%,29.270000%
