Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
FFIV,"F5, INC. (XNAS:FFIV)",0.884800%,7.990700%,0.663000%,-21.702000%,18.237000%,-21.702000%,74.572000%,-48.717800%
FICO,FAIR ISAAC CORPORATION (XNYS:FICO),2.572400%,10.654000%,2.991000%,-21.403000%,29.421000%,-21.403000%,27.596600%,11.459300%
FIS,"FIDELITY NATIONAL INFORMATION SERVICES, INC. (XNYS:FIS)",-1.239600%,9.986700%,-0.685000%,-27.599000%,19.405000%,-27.599000%,-30.307100%,-16.740800%
FISV,"FISERV, INC. (XNAS:FISV)",0.167600%,10.369100%,0.907000%,-48.274000%,18.782000%,-48.274000%,671.164600%,-165.650700%
FITB,FIFTH THIRD BANCORP (XNAS:FITB),1.766500%,9.524800%,1.877000%,-26.591000%,29.450000%,-26.591000%,123.478000%,10.870800%
FIX,"COMFORT SYSTEMS USA, INC. (XNYS:FIX)",6.567900%,13.904200%,5.260000%,-26.198000%,46.094000%,-26.198000%,65.763800%,64.923600%
FOX,FOX CORPORATION (XNAS:FOX),1.831100%,6.624600%,1.735000%,-12.275000%,16.862000%,-12.275000%,-51.862700%,6.748200%
FOXA,FOX CORPORATION (XNAS:FOXA),2.069200%,6.696100%,2.321000%,-12.032000%,15.811000%,-12.032000%,-67.040000%,-7.486800%
FRT,FEDERAL REALTY INVESTMENT TRUST (XNYS:FRT),0.460600%,6.918900%,0.061000%,-16.726000%,15.863000%,-16.726000%,-6.643600%,15.704800%
FSLR,"FIRST SOLAR, INC. (XNAS:FSLR)",2.049800%,15.690300%,1.553000%,-24.528000%,54.146000%,-24.528000%,132.021100%,89.287800%
FTNT,"FORTINET, INC. (XNAS:FTNT)",3.158800%,11.325700%,2.795000%,-22.530000%,32.167000%,-22.530000%,28.526800%,8.900400%
FTV,FORTIVE CORPORATION (XNYS:FTV),0.177100%,6.994400%,0.206000%,-13.623000%,18.518000%,-13.623000%,-29.017200%,11.061600%
GD,GENERAL DYNAMICS CORPORATION (XNYS:GD),1.928900%,5.836300%,1.369000%,-7.321000%,23.780000%,-7.321000%,273.345400%,121.628200%
GDDY,GODADDY INC. (XNYS:GDDY),0.896500%,9.275900%,-1.147000%,-15.589000%,36.638000%,-15.589000%,255.980700%,112.219800%
GE,GENERAL ELECTRIC COMPANY (XNYS:GE),4.172800%,10.263900%,2.597000%,-18.674000%,32.555000%,-18.674000%,65.338700%,43.693500%
GEHC,GE HealthCare Technologies Inc. (XNAS:GEHC),1.361700%,7.366900%,0.000000%,0.000000%,24.427000%,-16.137000%,273.049200%,113.433900%
GEN,GEN DIGITAL INC. (XNAS:GEN),0.455900%,9.386000%,0.604000%,-25.424000%,32.533000%,-25.424000%,301.974700%,81.503100%
