Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
NKE,"NIKE, INC. (XNYS:NKE)",-1.006000%,9.031500%,-0.524000%,-21.916000%,18.353000%,-21.916000%,-19.156800%,-9.330300%
NOC,NORTHROP GRUMMAN CORPORATION (XNYS:NOC),1.709100%,6.726200%,0.791000%,-0.356000%,20.903000%,-17.883000%,166.231500%,65.090600%
NOW,"SERVICENOW, INC. (XNYS:NOW)",86.732500%,202.795600%,-1.055000%,-82.830000%,492.900000%,-82.830000%,-70.262200%,105.117400%
NRG,"NRG ENERGY, INC. (XNYS:NRG)",2.811700%,11.749700%,1.605000%,-25.041000%,42.270000%,-25.041000%,143.923100%,70.482900%
NSC,NORFOLK SOUTHERN CORPORATION (XNYS:NSC),0.561600%,8.204600%,-0.417000%,-14.918000%,22.487000%,-14.918000%,-36.770900%,31.646800%
NTAP,"NETAPP, INC. (XNAS:NTAP)",0.553200%,8.880500%,-0.574000%,-28.059000%,25.570000%,-28.059000%,179.422600%,-2.961500%
NTRS,NORTHERN TRUST CORPORATION (XNAS:NTRS),1.092800%,8.127100%,0.985000%,11.652000%,20.240000%,-13.664000%,-48.662600%,32.745300%
NUE,NUCOR CORPORATION (XNYS:NUE),3.947800%,15.981600%,2.479000%,-24.552000%,64.724000%,-24.552000%,278.596300%,121.635000%
NVDA,NVIDIA CORPORATION (XNAS:NVDA),6.529500%,15.926800%,5.579000%,-32.027000%,46.856000%,-32.027000%,5.584400%,24.253200%
NVR,"NVR, Inc. (XNYS:NVR)",1.066600%,7.508600%,1.069000%,-16.143000%,14.482000%,-16.143000%,-62.068800%,-0.501200%
NWS,NEWS CORPORATION (XNAS:NWS),1.404900%,8.016600%,1.836000%,-15.558000%,24.258000%,-15.558000%,54.725400%,22.346200%
NWSA,NEWS CORPORATION (XNAS:NWSA),1.177400%,8.465700%,1.641000%,-15.350000%,31.082000%,-15.350000%,175.915100%,59.529800%
NXPI,NXP Semiconductors NV (XNAS:NXPI),1.445200%,10.387800%,-0.969000%,-21.991000%,25.469000%,-21.991000%,-42.588900%,40.625300%
O,REALTY INCOME CORPORATION (XNYS:O),-0.101100%,5.700300%,-0.452000%,-14.763000%,13.888000%,-14.763000%,-7.655600%,1.890900%
ODFL,"OLD DOMINION FREIGHT LINE, INC. (XNAS:ODFL)",1.684800%,9.630100%,1.330000%,-21.649000%,23.923000%,-21.649000%,-10.851500%,17.576600%
OKE,"ONEOK, INC. (XNYS:OKE)",1.873300%,8.652500%,2.110000%,-17.194000%,27.191000%,-17.194000%,60.461800%,12.152000%
OMC,OMNICOM GROUP INC. (XNYS:OMC),0.959300%,7.532300%,0.129000%,-17.916000%,18.868000%,-17.916000%,-20.229800%,2.725800%
ON,ON SEMICONDUCTOR CORPORATION (XNAS:ON),2.247900%,13.084000%,2.980000%,6.119000%,32.737000%,-32.609000%,-7.869600%,-10.700000%
ORCL,ORACLE CORPORATION (XNYS:ORCL),2.318100%,11.010100%,0.651000%,-23.099000%,32.079000%,-23.099000%,35.630500%,40.726000%
ORLY,"O'Reilly Automotive, Inc. (XNAS:ORLY)",2.390300%,6.678200%,2.545000%,-12.401000%,19.221000%,-12.401000%,17.765400%,-0.302200%
OTIS,OTIS WORLDWIDE CORPORATION (XNYS:OTIS),0.759400%,6.787800%,0.805000%,-13.462000%,13.762000%,-13.462000%,-78.287300%,-3.681600%
OXY,OCCIDENTAL PETROLEUM CORPORATION (XNYS:OXY),2.885000%,12.927500%,0.848000%,-20.158000%,50.624000%,-20.158000%,255.764600%,130.473900%
PANW,"PALO ALTO NETWORKS, INC. (XNAS:PANW)",2.804000%,10.011700%,2.379000%,-17.869000%,25.908000%,-17.869000%,-42.871700%,9.042700%
PAYC,"PAYCOM SOFTWARE, INC. (XNYS:PAYC)",-1.293800%,11.227200%,-1.569000%,-25.844000%,25.491000%,-25.844000%,-17.429300%,8.188000%
PAYX,"PAYCHEX, INC. (XNAS:PAYX)",0.525700%,6.387700%,0.260000%,-13.729000%,15.888000%,-13.729000%,-20.407700%,38.144700%
PCAR,PACCAR INC (XNAS:PCAR),1.433600%,7.293900%,0.590000%,-13.262000%,21.859000%,-13.262000%,65.178000%,58.713500%
PCG,PG&E CORPORATION (XNYS:PCG),0.430800%,7.884900%,1.379000%,-22.448000%,20.833000%,-22.448000%,140.227900%,-38.130600%
PEG,PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED (XNYS:PEG),0.556300%,5.309300%,0.224000%,-12.632000%,15.158000%,-12.632000%,23.187500%,14.956700%
PEP,"PEPSICO, INC. (XNAS:PEP)",-0.167600%,4.313100%,-0.498000%,-9.577000%,11.221000%,-9.577000%,-11.140800%,31.375300%
PFE,PFIZER INC. (XNYS:PFE),-0.896000%,6.463100%,-1.920000%,-13.817000%,22.840000%,-13.817000%,189.663900%,92.978600%
PFG,"PRINCIPAL FINANCIAL GROUP, INC. (XNAS:PFG)",1.557000%,7.638700%,1.977000%,-19.697000%,22.148000%,-19.697000%,113.898700%,14.587100%
PG,THE PROCTER & GAMBLE COMPANY (XNYS:PG),0.060400%,4.880800%,0.059000%,-8.876000%,13.142000%,-8.876000%,-23.711000%,32.726000%
PGR,THE PROGRESSIVE CORPORATION (XNYS:PGR),1.863600%,7.224600%,1.240000%,-16.582000%,17.784000%,-16.582000%,-12.106400%,6.381700%
PH,PARKER-HANNIFIN CORPORATION (XNYS:PH),2.643900%,8.257700%,1.680000%,-14.030000%,21.720000%,-14.030000%,-21.873400%,51.371200%
PHM,"PULTEGROUP, INC. (XNYS:PHM)",1.982800%,10.159700%,1.298000%,-20.478000%,24.951000%,-20.478000%,-35.335700%,13.503400%
PKG,PACKAGING CORPORATION OF AMERICA (XNYS:PKG),0.961300%,7.135000%,0.677000%,-17.989000%,16.034000%,-17.989000%,-18.400000%,-11.418700%
PLD,"PROLOGIS, INC. (XNYS:PLD)",0.672000%,8.399400%,1.434000%,-6.854000%,15.984000%,-21.633000%,31.107700%,-42.044900%
PLTR,PALANTIR TECHNOLOGIES INC. (XNAS:PLTR),5.522700%,23.091600%,4.215000%,-33.798000%,89.806000%,-33.798000%,234.469900%,114.084300%
PM,Philip Morris International Inc. (XNYS:PM),1.559000%,7.255000%,1.505000%,-13.069000%,21.912000%,-13.069000%,21.966600%,27.296700%
PNC,"THE PNC FINANCIAL SERVICES GROUP, INC. (XNYS:PNC)",0.987100%,8.635500%,2.065000%,-23.170000%,22.220000%,-23.170000%,23.189900%,1.644700%
PNR,PENTAIR PUBLIC LIMITED COMPANY (XNYS:PNR),1.253000%,8.132700%,1.094000%,-15.625000%,23.121000%,-15.625000%,-2.456000%,19.424800%
PNW,PINNACLE WEST CAPITAL CORPORATION (XNYS:PNW),0.300700%,5.928500%,-0.083000%,-14.386000%,16.530000%,-14.386000%,38.032700%,25.410300%
PODD,INSULET CORPORATION (XNAS:PODD),0.534500%,11.741400%,-0.524000%,-30.728000%,42.634000%,-30.728000%,223.867400%,69.250700%
POOL,POOL CORPORATION (XNAS:POOL),-0.461800%,9.581000%,-2.524000%,-15.857000%,27.546000%,-15.857000%,66.239300%,87.247200%
PPG,"PPG INDUSTRIES, INC. (XNYS:PPG)",-0.501300%,7.480800%,-1.172000%,-16.088000%,18.427000%,-16.088000%,11.565400%,45.162300%
PPL,PPL CORPORATION (XNYS:PPL),0.138300%,5.484700%,0.992000%,-12.827000%,11.438000%,-12.827000%,-44.352700%,-36.830600%
PRU,"PRUDENTIAL FINANCIAL, INC. (XNYS:PRU)",1.011200%,7.365400%,1.149000%,-21.155000%,22.628000%,-21.155000%,102.875700%,0.225200%
PSA,PUBLIC STORAGE. (XNYS:PSA),0.468600%,6.992400%,0.240000%,-13.966000%,17.870000%,-13.966000%,-5.338700%,33.981600%
PSKY,PARAMOUNT SKYDANCE CORPORATION (XNAS:PSKY),-0.859900%,14.606200%,-1.839000%,-34.805000%,37.204000%,-34.805000%,73.588600%,47.739500%
PSX,PHILLIPS 66 (XNYS:PSX),2.054800%,9.249000%,1.887000%,-18.669000%,29.200000%,-18.669000%,77.070200%,34.106300%
PTC,PTC INC. (XNAS:PTC),0.521600%,7.984000%,0.697000%,-19.914000%,24.643000%,-19.914000%,74.127400%,17.872100%
PWR,"QUANTA SERVICES, INC. (XNYS:PWR)",4.101700%,10.633600%,4.443000%,-17.369000%,33.883000%,-17.369000%,28.079900%,32.311400%
PYPL,"PAYPAL HOLDINGS, INC. (XNAS:PYPL)",-2.532200%,11.813500%,-0.865000%,-34.902000%,23.897000%,-34.902000%,44.712100%,-59.985200%
Q,"QNITY ELECTRONICS, INC. (XNYS:Q)",-0.159200%,1.963300%,0.000000%,0.000000%,4.238000%,-14.642000%,5184.928700%,-672.122800%
QCOM,QUALCOMM INCORPORATED (XNAS:QCOM),0.277300%,10.126700%,-2.145000%,-15.159000%,35.719000%,-15.159000%,145.025500%,95.408100%
RCL,ROYAL CARIBBEAN CRUISES LTD. (XNYS:RCL),3.978600%,15.536500%,4.610000%,-39.883000%,43.492000%,-39.883000%,74.035900%,14.662600%
REG,REGENCY CENTERS CORPORATION (XNAS:REG),0.972800%,6.481000%,-0.042000%,-13.048000%,20.199000%,-13.048000%,51.507000%,49.597800%
REGN,"REGENERON PHARMACEUTICALS, INC. (XNAS:REGN)",1.043800%,8.349300%,0.854000%,-20.266000%,19.698000%,-20.266000%,18.347000%,-2.858700%
RF,REGIONS FINANCIAL CORPORATION (XNYS:RF),1.672600%,9.260400%,3.566000%,-21.155000%,21.458000%,-21.155000%,-27.418200%,-16.637600%
RJF,"RAYMOND JAMES FINANCIAL, INC. (XNYS:RJF)",2.191500%,8.417500%,1.865000%,-17.551000%,22.646000%,-17.551000%,36.521700%,18.462200%
RL,RALPH LAUREN CORPORATION (XNYS:RL),3.616200%,10.716700%,1.389000%,-12.846000%,30.688000%,-12.846000%,-38.395900%,63.708200%
RMD,RESMED INC. (XNYS:RMD),0.374300%,8.497800%,1.745000%,-28.226000%,19.757000%,-28.226000%,111.479200%,-48.955700%
ROK,"ROCKWELL AUTOMATION, INC. (XNYS:ROK)",1.349100%,9.300500%,-0.204000%,-18.423000%,28.082000%,-18.423000%,98.545300%,56.415300%
ROL,"ROLLINS, INC. (XNYS:ROL)",0.922400%,6.800700%,0.323000%,-12.471000%,21.338000%,-12.471000%,8.721300%,37.532100%
ROP,"ROPER TECHNOLOGIES, INC. (XNAS:ROP)",0.215500%,5.982000%,0.800000%,-11.121000%,15.265000%,-11.121000%,-21.543400%,7.265600%
ROST,"ROSS STORES, INC. (XNAS:ROST)",0.857500%,8.172700%,1.826000%,-17.396000%,22.970000%,-17.396000%,0.960500%,-8.445300%
RSG,"REPUBLIC SERVICES, INC. (XNYS:RSG)",1.652200%,5.572500%,1.439000%,-9.256000%,12.111000%,-9.256000%,-88.747400%,2.100600%
RTX,RTX CORPORATION (XNYS:RTX),2.159200%,6.750900%,2.229000%,-16.353000%,17.034000%,-16.353000%,18.361600%,-6.363800%
RVTY,"REVVITY, INC. (XNYS:RVTY)",-0.622800%,9.303400%,-1.918000%,-25.158000%,22.958000%,-25.158000%,27.654100%,6.544700%
SBAC,SBA Communications Corporation (XNAS:SBAC),-0.720200%,7.737700%,-0.534000%,-16.344000%,18.372000%,-16.344000%,-43.636000%,7.501400%
SBUX,STARBUCKS CORPORATION (XNAS:SBUX),0.102200%,8.314600%,-0.837000%,4.872000%,21.321000%,-18.391000%,30.471900%,17.301000%
SCHW,THE CHARLES SCHWAB CORPORATION (XNYS:SCHW),1.865800%,9.708400%,0.872000%,-32.343000%,26.465000%,-32.343000%,206.499900%,-48.033000%
SHW,THE SHERWIN-WILLIAMS COMPANY (XNYS:SHW),0.742300%,8.511900%,-0.312000%,-18.642000%,17.549000%,-18.642000%,-44.883500%,-4.014900%
SJM,THE J. M. SMUCKER COMPANY (XNYS:SJM),-0.444300%,5.745000%,-1.807000%,-15.205000%,15.174000%,-15.205000%,38.044000%,15.973900%
SLB,SLB N.V. (XNYS:SLB),2.086500%,11.640900%,1.063000%,0.000000%,44.930000%,-22.193000%,253.278000%,98.145100%
SMCI,"SUPER MICRO COMPUTER, INC. (XNAS:SMCI)",8.949000%,28.379000%,2.733000%,-37.618000%,112.416000%,-37.618000%,326.264000%,150.913900%
SNA,SNAP-ON INCORPORATED (XNYS:SNA),1.509100%,7.218000%,1.319000%,-12.250000%,28.196000%,-12.250000%,200.550900%,89.103700%
SNDK,SANDISK CORPORATION (XNAS:SNDK),4.054400%,18.577900%,0.000000%,0.000000%,113.836000%,-32.556000%,2415.930800%,452.344100%
SNPS,"SYNOPSYS, INC. (XNAS:SNPS)",1.404400%,9.741000%,1.569000%,-18.389000%,23.561000%,-18.389000%,-28.714200%,9.340000%
SO,THE SOUTHERN COMPANY (XNYS:SO),0.449800%,4.924000%,0.717000%,-11.769000%,12.242000%,-11.769000%,-39.137100%,1.345800%
SOLV,SOLVENTUM CORPORATION (XNYS:SOLV),0.507300%,5.426800%,0.000000%,0.000000%,23.494000%,-13.046000%,543.828000%,119.147000%
SPG,"SIMON PROPERTY GROUP, INC. (XNYS:SPG)",1.978900%,8.758600%,1.206000%,-17.209000%,22.425000%,-17.209000%,-22.553800%,23.618400%
SPGI,S&P Global Inc. (XNYS:SPGI),0.731100%,6.872200%,1.338000%,-13.297000%,19.043000%,-13.297000%,-31.455700%,15.657400%
SRE,SEMPRA (XNYS:SRE),0.309600%,6.385900%,0.667000%,-13.952000%,21.685000%,-13.952000%,118.577600%,41.917200%
STE,STERIS PUBLIC LIMITED COMPANY (XNYS:STE),0.689700%,7.208400%,0.253000%,-17.430000%,14.421000%,-17.430000%,-70.467400%,-4.037000%
STLD,"STEEL DYNAMICS, INC. (XNAS:STLD)",4.463500%,13.766600%,2.882000%,-22.523000%,50.270000%,-22.523000%,242.598300%,109.309500%
STT,STATE STREET CORPORATION (XNYS:STT),1.180700%,8.819500%,1.573000%,-23.129000%,21.691000%,-23.129000%,45.166500%,-4.609900%
STX,SEAGATE TECHNOLOGY HOLDINGS PUBLIC LIMITED COMPANY (XNAS:STX),3.451700%,11.683700%,3.206000%,8.602000%,41.016000%,-20.505000%,107.709800%,52.667100%
STZ,"CONSTELLATION BRANDS, INC. (XNYS:STZ)",-0.731800%,6.066400%,-0.213000%,-2.432000%,11.379000%,-18.190000%,61.282200%,-41.265000%
SW,SMURFIT WESTROCK PUBLIC LIMITED COMPANY (XNYS:SW),-0.049500%,9.305600%,0.444000%,-19.166000%,24.601000%,-19.166000%,-0.203700%,9.870700%
SWK,"STANLEY BLACK & DECKER, INC. (XNYS:SWK)",-1.147900%,10.048200%,-2.765000%,-21.930000%,32.207000%,-21.930000%,141.386400%,72.246800%
SWKS,"SKYWORKS SOLUTIONS, INC. (XNAS:SWKS)",-1.339900%,9.813900%,-0.569000%,-27.186000%,20.345000%,-27.186000%,9.997200%,-12.985000%
SYF,SYNCHRONY FINANCIAL (XNYS:SYF),2.167400%,10.723000%,2.341000%,-25.432000%,26.144000%,-25.432000%,46.432200%,-31.554100%
SYK,STRYKER CORPORATION (XNYS:SYK),1.154500%,6.681500%,0.891000%,-2.802000%,13.183000%,-15.168000%,-57.143600%,-7.702300%
SYY,SYSCO CORPORATION (XNYS:SYY),0.516900%,6.423600%,0.115000%,-13.999000%,22.415000%,-13.999000%,140.386600%,53.737500%
T,AT&T INC. (XNYS:T),0.339100%,7.184800%,-0.452000%,-12.543000%,19.174000%,-12.543000%,19.928200%,49.731700%
TAP,MOLSON COORS BEVERAGE COMPANY (XNYS:TAP),0.471900%,7.271200%,1.020000%,-14.855000%,15.093000%,-14.855000%,-74.837200%,-5.223600%
TDG,TRANSDIGM GROUP INCORPORATED (XNYS:TDG),2.126000%,6.638200%,2.213000%,-13.030000%,16.276000%,-13.030000%,20.992900%,-14.194600%
TDY,TELEDYNE TECHNOLOGIES INCORPORATED (XNYS:TDY),0.873000%,6.927200%,2.103000%,2.593000%,17.930000%,-11.143000%,-72.618400%,18.567400%
TECH,BIO-TECHNE CORPORATION (XNAS:TECH),0.201700%,10.838600%,1.830000%,-27.241000%,22.671000%,-27.241000%,-36.291000%,-14.743500%
TEL,TE CONNECTIVITY PUBLIC LIMITED COMPANY (XNYS:TEL),1.520900%,7.172500%,1.710000%,-12.558000%,21.984000%,-12.558000%,36.547400%,27.349600%
TER,"TERADYNE, INC. (XNAS:TER)",2.043400%,12.734700%,3.568000%,-28.664000%,32.055000%,-28.664000%,-5.561600%,-25.251600%
TFC,Truist Financial Corporation (XNYS:TFC),0.519900%,8.775500%,0.379000%,-30.958000%,21.551000%,-30.958000%,194.080600%,-35.376400%
TGT,TARGET CORPORATION (XNYS:TGT),-0.603000%,9.759500%,-1.861000%,-29.202000%,27.416000%,-29.202000%,137.983400%,-1.039500%
TJX,"THE TJX COMPANIES, INC. (XNYS:TJX)",1.394300%,6.110700%,1.155000%,-15.826000%,16.066000%,-15.826000%,28.642200%,-24.509800%
TKO,"TKO GROUP HOLDINGS, INC. (XNYS:TKO)",2.830700%,9.467800%,2.586000%,-19.201000%,25.030000%,-19.201000%,-10.807100%,12.263500%
TMO,THERMO FISHER SCIENTIFIC INCORPORATED (XNYS:TMO),0.239000%,7.764700%,0.655000%,-16.754000%,16.983000%,-16.754000%,-45.345800%,-7.468900%
TMUS,"T-MOBILE US, INC. (XNAS:TMUS)",1.185300%,6.692200%,0.582000%,-12.252000%,18.656000%,-12.252000%,-1.055800%,42.008900%
TPL,TEXAS PACIFIC LAND CORPORATION (XNYS:TPL),39.128400%,113.964600%,2.145000%,-71.189000%,472.952000%,-71.189000%,208.713900%,141.375600%
TPR,"TAPESTRY, INC. (XNYS:TPR)",4.181100%,12.107900%,1.737000%,-22.781000%,33.270000%,-22.781000%,-7.189100%,34.868700%
TRGP,TARGA RESOURCES CORP. (XNYS:TRGP),4.316100%,9.667000%,3.656000%,-17.148000%,31.815000%,-17.148000%,45.182100%,26.135000%
TRMB,TRIMBLE INC. (XNAS:TRMB),0.951100%,9.951600%,-0.682000%,-17.238000%,26.543000%,-17.238000%,-22.318500%,44.109100%
TROW,"T. ROWE PRICE GROUP, INC. (XNAS:TROW)",-0.406100%,8.506100%,0.706000%,-21.466000%,17.662000%,-21.466000%,-1.292600%,-49.244600%
TRV,"The Travelers Companies, Inc. (XNYS:TRV)",1.633400%,6.049400%,2.612000%,-10.313000%,20.405000%,-10.313000%,22.093400%,13.426900%
TSCO,TRACTOR SUPPLY COMPANY (XNAS:TSCO),1.549700%,7.345600%,1.606000%,-13.678000%,24.933000%,-13.678000%,89.428700%,48.706000%
TSLA,"TESLA, INC. (XNAS:TSLA)",2.106400%,17.822100%,1.103000%,-36.733000%,43.653000%,-36.733000%,-4.584400%,23.866600%
TSN,"TYSON FOODS, INCORPORATED (XNYS:TSN)",0.131500%,7.315800%,-0.192000%,-18.963000%,15.534000%,-18.963000%,-11.571600%,-6.356000%
TT,Trane Technologies plc (XNYS:TT),2.083600%,8.277700%,2.713000%,-14.320000%,19.103000%,-14.320000%,-60.144600%,-0.010100%
TTD,"THE TRADE DESK, INC. (XNAS:TTD)",0.709400%,18.087900%,-0.417000%,-53.893000%,40.257000%,-53.893000%,103.341900%,-22.365200%
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC. (XNAS:TTWO)",0.514300%,8.302200%,-0.820000%,-22.265000%,18.280000%,-22.265000%,-12.541800%,8.494900%
TXN,TEXAS INSTRUMENTS INCORPORATED (XNAS:TXN),0.480500%,7.353800%,0.681000%,-13.074000%,16.427000%,-13.074000%,-56.676300%,14.457800%
TXT,TEXTRON INC. (XNYS:TXT),1.597300%,7.376100%,0.553000%,-11.839000%,23.906000%,-11.839000%,32.651200%,50.172600%
TYL,"TYLER TECHNOLOGIES, INC. (XNYS:TYL)",0.301900%,6.991100%,0.078000%,-11.925000%,20.007000%,-11.925000%,24.693500%,60.152700%
UAL,"UNITED AIRLINES HOLDINGS, INC. (XNAS:UAL)",3.192500%,14.615400%,2.279000%,-34.760000%,43.886000%,-34.760000%,96.361700%,50.603300%
UBER,"UBER TECHNOLOGIES, INC. (XNYS:UBER)",2.037800%,11.674400%,0.264000%,-26.302000%,30.268000%,-26.302000%,-30.257200%,17.834200%
UDR,"UDR, INC. (XNYS:UDR)",0.265100%,6.366400%,0.052000%,-10.821000%,14.641000%,-10.821000%,-61.529000%,32.458300%
UHS,"UNIVERSAL HEALTH SERVICES, INC. (XNYS:UHS)",1.299300%,10.548700%,0.521000%,9.206000%,31.402000%,-19.180000%,-41.101100%,22.589500%
ULTA,"ULTA BEAUTY, INC. (XNAS:ULTA)",1.951600%,8.899000%,2.461000%,-25.679000%,19.164000%,-25.679000%,86.122400%,-63.679900%
UNH,UNITEDHEALTH GROUP INCORPORATED (XNYS:UNH),-0.010300%,8.631400%,-0.935000%,-26.621000%,24.167000%,-26.621000%,200.969300%,-37.840200%
UNP,UNION PACIFIC CORPORATION (XNYS:UNP),0.549700%,6.644100%,-0.444000%,-14.245000%,23.157000%,-14.245000%,132.709200%,59.233500%
UPS,"UNITED PARCEL SERVICE, INC. (XNYS:UPS)",-0.305400%,7.860600%,0.159000%,-7.987000%,19.925000%,-16.950000%,1.328500%,14.069100%
URI,"UNITED RENTALS, INC. (XNYS:URI)",3.273400%,12.355600%,0.758000%,-18.656000%,35.513000%,-18.656000%,24.374300%,58.332200%
USB,U.S. BANCORP (XNYS:USB),0.857800%,9.570400%,-0.105000%,-27.610000%,29.078000%,-27.610000%,109.309800%,19.896200%
V,VISA INC. (XNYS:V),1.120700%,5.915800%,1.219000%,-11.649000%,16.611000%,-11.649000%,-26.892200%,17.866300%
VICI,VICI PROPERTIES INC. (XNYS:VICI),0.592500%,5.952900%,-0.508000%,-10.426000%,14.770000%,-10.426000%,-35.924900%,44.726900%
VLO,VALERO ENERGY CORPORATION (XNYS:VLO),2.885200%,10.653900%,3.164000%,-17.994000%,36.417000%,-17.994000%,82.398200%,46.313000%
VLTO,VERALTO CORPORATION (XNYS:VLTO),0.522600%,4.992500%,0.000000%,0.000000%,15.608000%,-18.401000%,444.377700%,-1.441700%
VMC,VULCAN MATERIALS COMPANY (XNYS:VMC),1.642700%,8.082700%,1.044000%,-14.901000%,20.756000%,-14.901000%,-46.039700%,20.225500%
VRSK,"VERISK ANALYTICS, INC. (XNAS:VRSK)",-0.070500%,6.688900%,0.153000%,-14.276000%,15.975000%,-14.276000%,-23.124300%,-18.496100%
VRSN,"VERISIGN, INC. (XNAS:VRSN)",0.363100%,7.196300%,-0.021000%,-19.675000%,18.079000%,-19.675000%,54.993600%,-11.445100%
VRTX,VERTEX PHARMACEUTICALS INCORPORATED (XNAS:VRTX),0.918500%,6.998900%,0.481000%,-14.413000%,17.471000%,-14.413000%,17.885300%,11.130000%
VST,VISTRA CORP. (XNYS:VST),4.412800%,15.467500%,4.076000%,-30.108000%,69.754000%,-30.108000%,457.876600%,134.131800%
VTR,"VENTAS, INC. (XNYS:VTR)",1.315200%,8.589800%,1.920000%,-16.329000%,18.911000%,-16.329000%,-63.355600%,6.353900%
VTRS,VIATRIS INC. (XNAS:VTRS),-1.124200%,10.998200%,-1.476000%,-27.321000%,20.709000%,-27.321000%,-0.267200%,-17.743200%
VZ,VERIZON COMMUNICATIONS INC. (XNYS:VZ),-0.481100%,5.823500%,-0.924000%,-9.811000%,15.156000%,-9.811000%,-6.638500%,42.584600%
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION (XNYS:WAB),1.980000%,6.647000%,2.350000%,-13.106000%,18.396000%,-13.106000%,-8.218300%,-12.768500%
WAT,WATERS CORPORATION (XNYS:WAT),1.111400%,9.604600%,0.924000%,-17.974000%,19.068000%,-17.974000%,-72.104500%,-5.307900%
WBD,"WARNER BROS. DISCOVERY, INC. (XNAS:WBD)",1.704000%,17.618700%,0.502000%,-27.263000%,67.784000%,-27.263000%,327.987000%,139.937700%
WDAY,"WORKDAY, INC. (XNAS:WDAY)",0.196700%,9.015500%,0.488000%,-24.383000%,27.873000%,-24.383000%,88.401600%,26.347100%
WDC,WESTERN DIGITAL CORPORATION (XNAS:WDC),3.593300%,14.374700%,5.474000%,-26.133000%,49.440000%,-26.133000%,98.807700%,43.619600%
WEC,WEC ENERGY GROUP INC. (XNYS:WEC),0.062700%,5.169300%,0.304000%,-13.293000%,11.665000%,-13.293000%,-13.368800%,0.841600%
WELL,WELLTOWER INC. (XNYS:WELL),2.401900%,7.310600%,1.628000%,-16.086000%,18.201000%,-16.086000%,-27.018400%,-7.444100%
WFC,WELLS FARGO & COMPANY (XNYS:WFC),2.787000%,9.162400%,1.554000%,-20.247000%,30.756000%,-20.247000%,77.455500%,23.076500%
WM,"WASTE MANAGEMENT, INC. (XNYS:WM)",1.312200%,5.671700%,1.239000%,-11.581000%,15.900000%,-11.581000%,3.286700%,13.157600%
WMB,"THE WILLIAMS COMPANIES, INC. (XNYS:WMB)",2.306800%,6.990500%,2.421000%,-15.868000%,14.977000%,-15.868000%,1.889100%,-31.202100%
WMT,WALMART INC. (XNAS:WMT),1.467900%,5.633700%,1.467000%,-15.923000%,12.874000%,-15.923000%,60.788200%,-26.453900%
WRB,W. R. BERKLEY CORPORATION (XNYS:WRB),2.102300%,7.708200%,1.155000%,-11.696000%,23.033000%,-11.696000%,23.907000%,56.440700%
WSM,"WILLIAMS-SONOMA, INC. (XNYS:WSM)",3.089800%,14.968200%,-0.510000%,-25.202000%,64.192000%,-25.202000%,379.098400%,145.618200%
WST,"WEST PHARMACEUTICAL SERVICES, INC. (XNYS:WST)",0.093100%,11.140000%,1.258000%,-34.452000%,30.448000%,-34.452000%,200.374100%,-62.703500%
WTW,Willis Towers Watson Public Limited Company (XNAS:WTW),1.103000%,6.458500%,2.114000%,0.966000%,13.099000%,-11.991000%,-56.080100%,-12.292900%
WY,WEYERHAEUSER COMPANY (XNYS:WY),-0.244100%,8.066000%,-1.698000%,-16.393000%,16.923000%,-16.393000%,-70.740700%,3.012700%
WYNN,"WYNN RESORTS, LIMITED (XNAS:WYNN)",1.451700%,11.146100%,1.199000%,-19.599000%,32.352000%,-19.599000%,88.040100%,87.185700%
XEL,Xcel Energy Inc. (XNAS:XEL),-0.067900%,5.598000%,0.645000%,-13.805000%,11.410000%,-13.805000%,-25.064200%,-39.323200%
XOM,EXXON MOBIL CORPORATION (XNYS:XOM),2.548200%,8.385800%,1.974000%,-13.656000%,26.916000%,-13.656000%,134.590500%,82.735700%
XYL,XYLEM INC. (XNYS:XYL),0.856500%,7.806000%,0.929000%,-18.815000%,17.716000%,-18.815000%,-6.742300%,-5.032800%
XYZ,"BLOCK, INC. (XNYS:XYZ)",-0.527600%,17.338000%,1.419000%,-40.178000%,57.590000%,-40.178000%,109.484200%,37.299700%
YUM,"YUM! BRANDS, INC. (XNYS:YUM)",1.112500%,6.729200%,-0.274000%,-9.859000%,20.582000%,-9.859000%,65.635600%,82.448700%
ZBH,"ZIMMER BIOMET HOLDINGS, INC. (XNYS:ZBH)",-0.544700%,6.736100%,-0.954000%,-16.434000%,15.767000%,-16.434000%,-14.143100%,8.629500%
ZBRA,ZEBRA TECHNOLOGIES CORPORATION (XNAS:ZBRA),-0.051500%,12.403500%,0.528000%,-27.907000%,28.775000%,-27.907000%,-26.285100%,31.218900%
ZTS,ZOETIS INC. (XNYS:ZTS),-0.130000%,7.016600%,0.642000%,-18.129000%,12.924000%,-18.129000%,-49.419800%,-12.000000%
