Symbol,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
DE,0.017421475,0.087455339,-0.00302,-0.16298,0.2955,-0.16298,0.767452412,0.777022647
DECK,0.01759459,0.121723275,0.01813,-0.36959,0.33654,-0.36959,1.138209558,-0.243403039
DELL,0.03090918,0.110426457,0.01332,-0.24381,0.37681,-0.24381,0.795353334,0.272173835
DG,-0.007416721,0.094337452,-0.01638,-0.31082,0.23741,-0.31082,1.545888538,-0.330633826
DGX,0.006594426,0.065986726,0.01012,-0.21958,0.17084,-0.21958,1.514526248,-0.289366733
DHI,0.015557377,0.106818268,0.00091,-0.17732,0.27673,-0.17732,-0.66281134,0.231342425
DHR,0.000773115,0.067887868,-0.01108,-0.14387,0.16295,-0.14387,-0.200501569,0.176145947
DIS,0.006711639,0.108143032,-0.01066,-0.18613,0.27392,-0.18613,0.139674412,0.767898077
DLR,0.000104918,0.077760964,0.01418,-0.19777,0.14311,-0.19777,-0.482305964,-0.332816909
DLTR,0.00918541,0.103022171,0.00384,-0.20715,0.24193,-0.20715,-0.317994334,-0.002873262
DOC,-0.010149836,0.076611999,-0.01836,-0.20051,0.14319,-0.20051,-0.490060324,-0.106773342
DOV,0.011830492,0.076836801,0.00878,-0.15041,0.183,-0.15041,-0.630613894,0.102235798
DOW,-0.006570492,0.084052431,-0.0177,-0.24081,0.23198,-0.24081,0.755850729,0.262217724
DPZ,0.002801148,0.092831514,0.00616,-0.19435,0.1773,-0.19435,-0.440088483,-0.042040351
DRI,0.016679016,0.066905275,0.01755,-0.09504,0.21482,-0.09504,0.545986683,0.663285002
DTE,0.00690623,0.053618394,0.0017,-0.11731,0.1534,-0.11731,0.282902495,0.413366858
DUK,0.002243607,0.04661874,0.00504,-0.12992,0.09019,-0.12992,0.273804388,-0.502976663
DVA,0.009227049,0.109654895,0.00422,-0.18301,0.31374,-0.18301,0.577482953,0.675847659
DVN,0.038824098,0.14434374,0.04186,-0.26422,0.56663,-0.26422,2.008591644,0.817451786
DXCM,0.004891803,0.136056956,0.00031,-0.40183,0.49963,-0.40183,3.046803335,0.374206401
EA,0.008451967,0.075641892,0.00566,-0.15988,0.17582,-0.15988,-0.01985202,0.105074522
EBAY,0.012043934,0.097748047,-0.00159,-0.16587,0.28512,-0.16587,-0.10778205,0.484556808
ECL,0.011479836,0.069807756,0.00849,-0.0285,0.21003,-0.19242,1.037163353,0.226377994
ED,0.003692951,0.055365511,0.00159,-0.12257,0.17975,-0.12257,0.866784236,0.386774666
EFX,0.008283279,0.106918633,0.0044,-0.18112,0.28389,-0.18112,-0.131193561,0.417960335
EG,0.014107869,0.070495229,0.01811,-0.13877,0.22946,-0.13877,0.797211891,0.435295103
EIX,0.002500656,0.077724169,0.01003,-0.32365,0.13449,-0.32365,3.840491837,-1.266692918
EL,-0.007685246,0.119526553,-0.01725,-0.30846,0.22903,-0.30846,-0.488061228,-0.070806634
ELV,0.006149672,0.082390624,0.00628,-0.27221,0.20867,-0.27221,2.46801423,-0.265640306
EME,0.048818525,0.118067832,0.0361,-0.17504,0.53522,-0.17504,4.385110234,1.542479976
EMR,0.016693279,0.091396429,0.00303,-0.15629,0.23645,-0.15629,-0.409438932,0.466531163
EOG,0.027093115,0.117070205,0.01068,-0.19363,0.42327,-0.19363,2.162086418,1.158697918
EPAM,-0.009377049,0.158867154,-0.00701,-0.56368,0.29298,-0.56368,1.565624853,-0.839174226
EQIX,0.000238689,0.070041485,0.0013,-0.14298,0.21928,-0.14298,0.638413627,0.124961011
